ID_PER,P5_17_1,P5_17_2,P5_17_3,P5_17_4,P5_16_1,P5_16_3,P5_11_01,P5_26,P5_1,P5_2_1,P5_2_4,P6_1,P6_3,P6_4_1,P6_4_2,P6_13,P6_14_1,P6_14_2,P6_14_3,P6_15,P7_37,P7_38,P7_40_1,P7_40_2,P7_40_3,P7_40_4,P7_40_5,P7_40_6,P7_1,P7_2,P7_9,P7_35,P7_36,P8_9_12,P10_7,P10_5_1,P10_5_2,P10_5_3,P10_5_4,P10_1,P10_3,P10_6,P10_8
0266.8820,2,1,3,4,2,3,0,2,1,1,1,2,2,1,2,3,2,2,1,2,4,4,1,2,2,2,2,2,1,18,1,1,1,2,4,2,2,2,2,2,2,1,1
0270.0155,4,2,4,2,3,1,0,2,2,1,2,5,2,1,2,3,2,2,1,2,4,3,1,2,2,2,2,1,1,13,2,2,1,2,3,1,2,2,2,2,2,2,2
0276.2587,3,3,3,3,1,1,0,4,1,1,2,5,2,1,1,3,1,2,1,2,4,3,1,2,2,2,2,2,1,12,1,1,1,2,4,1,2,1,2,2,2,2,2
0280.8648,1,3,1,1,1,1,0,3,1,1,1,5,2,1,1,3,2,1,1,2,3,3,1,2,2,2,2,2,2,15,1,1,1,2,4,2,2,2,2,2,1,1,1
0288.0566,1,1,1,1,3,1,1,4,1,1,2,2,2,1,2,3,2,2,1,2,3,3,1,2,2,2,2,2,1,20,2,1,1,2,4,1,1,1,2,2,2,2,2
0288.3244,4,1,3,3,3,1,0,4,2,1,1,5,2,1,1,3,2,2,2,2,3,3,1,2,2,2,1,2,1,18,1,1,1,2,4,2,2,2,2,2,2,2,1
0295.4264,2,2,3,4,1,1,0,4,2,1,2,5,2,1,1,3,2,2,1,2,4,4,1,2,2,2,2,2,2,20,2,1,1,2,4,1,1,1,2,2,2,2,2
0337.0297,1,3,3,4,1,1,0,4,2,1,1,3,2,1,1,2,2,2,1,2,3,4,1,2,2,2,2,2,2,24,1,1,1,2,4,2,1,1,1,1,2,2,2
0339.0150,1,2,4,1,2,1,0,3,1,1,1,4,2,1,1,3,2,2,1,2,3,3,1,2,2,1,2,2,2,19,1,1,1,1,4,1,1,1,2,2,2,2,2
0339.4897,1,1,1,1,1,1,0,1,1,1,1,2,2,1,1,3,2,1,2,2,4,3,1,2,2,1,2,2,2,12,1,1,1,2,4,2,2,1,1,1,1,1,2
0343.9509,2,2,3,3,2,1,1,4,1,1,1,1,2,1,1,3,1,1,1,1,4,4,1,2,2,2,2,2,1,12,1,1,1,2,4,1,1,1,1,1,2,1,2
0369.8895,1,1,1,1,1,1,0,2,1,1,1,1,2,1,1,2,2,2,1,1,4,4,1,2,2,2,2,2,2,19,1,1,1,2,4,1,2,2,2,2,2,1,2
