"theta_Claridad","theta_Satisfaccion","theta_Inseguridad","theta_Expectativas"
-0.626490827405759,0.732898971595017,-0.202233019620347,0.938472597133165
0.535067988478027,0.540017980301085,-0.136349101857304,-0.782302014072182
0.345654193284068,-0.0723161767837044,0.995883393516481,0.977159854712391
0.0295219657100515,-1.14537268949602,-0.0467864540284222,-0.461918768906316
-0.275662016283861,-0.0814352080264626,0.946954185195691,0.850117315812812
1.0987962280097,-0.612010194476037,-0.00823050392137659,-1.19559243591057
-0.08957605792004,0.540017980301085,-0.428329923368373,-0.851784467715444
-1.54880842715874,-0.612010194476037,-0.136349101857304,1.08417964667743
-1.88773984044279,-1.29381540707557,-0.86687272797351,0.938472597133166
-0.0689331133000339,-0.515052579747358,0.964464551879399,0.938472597133165
0.218938750053694,0.540017980301085,-0.394633160021737,-0.890998612621452
-0.203031701795049,0.732898971595017,0.114265958044827,1.12385520706388
0.491844367834322,0.540017980301085,-0.115289471596724,-1.5127631793746
0.403472958709515,0.540017980301085,-0.954262543142822,-0.890998612621452
0.424323116510244,-1.29381540707557,-1.34216788463442,1.12385520706388
0.462854222736599,0.540017980301085,-0.115289471596724,-0.326039859544066
0.644438696830692,0.732898971595017,0.338161687265824,-1.5127631793746
-1.88773984044279,-1.29381540707557,-0.136349101857304,-0.642010539579874
0.112813649270792,-0.612010194476037,-0.425658928265563,-1.23362467630651
0.25492662979927,-0.612010194476037,-0.323400167833493,-0.258452385639194
-0.240147815770455,-1.29381540707557,-0.00823050392137663,-0.809433419712292
-0.138773290576449,-0.612010194476037,0.964464551879399,0.977159854712392
1.44615009386262,-1.14537268949602,0.135517734187236,-1.37889779933285
0.183133203250458,0.540017980301085,0.995883393516481,-1.47177240514689
-0.128267714311422,0.540017980301085,-0.37564564729275,0.181747683730104
0.785504437253167,0.732898971595017,0.138062231973358,-0.890998612621452
-0.0853423843199144,0.540017980301085,-0.974045269909394,-1.5127631793746
1.27463373293023,-1.29381540707557,0.995883393516482,0.938472597133166
0.206852621639237,0.732898971595017,0.00808608427973516,0.977159854712391
1.15079595633744,-1.14537268949602,0.995883393516481,0.812283987808712
-0.155540171818427,0.540017980301085,-1.25296362840341,0.261321467211189
0.122724603350955,0.732898971595017,0.964464551879399,1.12385520706388
0.459353586497519,0.732898971595017,-0.533054015108142,0.181747683730104
0.381275442264444,-0.612010194476037,0.360475134117912,-0.371286550406096
-0.876570878513833,-0.183554805740025,-0.115289471596724,1.08417964667743
-1.13082314068734,0.732898971595018,-0.168970804042989,-0.890998612621452
0.239802332105645,0.540017980301085,-0.611285136052327,0.993561855357681
0.425804905466163,0.540017980301085,0.946954185195691,-0.890998612621452
0.521984407945373,0.540017980301085,0.363507025608169,-0.776678997039971
